Office,Receipt Type,Bank Account,Total Amount,Month,Year
BKKBB,BTR,HSBC,537825196.78,Apr,2023
BKKBB,BTR,BAY,22342481.27,Apr,2023
BKKBB,CHQ,HSBC,97168120.62,Apr,2023
BKKBB,CHQ,BAY,267789372.41,Apr,2023
BKKBB,CSH,BAY,1795133.54,Apr,2023
BKKBB,e-payment,HSBC,102735116.81,Apr,2023
LCBBB,BTR,BAY,28921254.53,Apr,2023
LCBBB,CHQ,BAY,3031970.0300000003,Apr,2023
LCBBB,CSH,BAY,94196.82,Apr,2023
SGZBB,BTR,BAY,11452993.05,Apr,2023
BKKBB,BTR,HSBC,506582758.85,May,2023
BKKBB,BTR,BAY,32318066.97,May,2023
BKKBB,CHQ,HSBC,85942637.82000001,May,2023
BKKBB,CHQ,BAY,309611564.83,May,2023
BKKBB,CSH,BAY,1807772.02,May,2023
BKKBB,e-payment,HSBC,142951486.06,May,2023
LCBBB,BTR,BAY,35336590.09,May,2023
LCBBB,CHQ,BAY,2309692.61,May,2023
LCBBB,CSH,BAY,73824.75,May,2023
SGZBB,BTR,BAY,17333505.48,May,2023
